time,hex_id,num_vehicles,avg_speed,avg_sin,avg_cos,label
0,-1_3,1,13.89,0.03891101664102858,0.9992426796249055,1
1,-1_3,2,12.705,0.03891101664102858,0.9992426796249055,1
1,1_4,1,13.89,0.7942025579772133,-0.6076531057292895,1
1,1_7,1,8.33,-0.03053851320982266,-0.9995335908367129,1
1,2_6,1,13.89,0.07741508350801171,0.9969989492699817,1
1,5_1,1,13.89,0.10539630743387979,-0.9944302984017045,1
2,-1_3,3,11.476666666666667,0.03891101664102858,0.9992426796249055,1
2,1_4,1,13.89,0.7942025579772133,-0.6076531057292895,1
2,1_6,1,13.89,-0.25156263237634396,0.9678410210318038,1
2,1_7,1,8.33,-0.03053851320982266,-0.9995335908367129,1
2,2_2,1,13.89,-0.6363475293115821,0.7714025031972901,1
2,2_6,1,13.89,0.07741508350801171,0.9969989492699817,1
2,2_9,1,13.89,-0.9997346290416701,0.023036308187606193,1
2,3_6,1,8.94,-0.6231973539694503,0.7820646124237278,1
2,5_1,1,13.89,0.10539630743387979,-0.9944302984017045,1
2,7_5,1,13.89,0.06993058045255512,-0.9975518602647026,1
3,-1_3,4,10.125,0.03891101664102858,0.9992426796249055,1
3,1_4,1,13.89,0.7942025579772133,-0.6076531057292895,1
3,1_6,1,13.89,-0.25156263237634396,0.9678410210318038,1
3,1_7,1,8.33,-0.03053851320982266,-0.9995335908367129,1
3,2_2,2,12.705,-0.6363475293115821,0.7714025031972901,1
3,2_6,1,13.89,0.07741508350801171,0.9969989492699817,1
3,2_9,1,13.89,-0.9997346290416701,0.023036308187606193,1
3,3_6,1,8.89,-0.6231973539694503,0.7820646124237278,1
3,4_4,1,13.89,-0.19782842696335967,-0.9802366619777096,1
3,5_1,1,13.89,0.10539630743387979,-0.9944302984017045,1
3,6_1,1,13.89,0.3674753565882333,-0.9300332587065641,1
3,6_2,1,13.89,0.2549394954004769,-0.9669570071543772,1
3,7_5,1,13.89,0.06993058045255512,-0.9975518602647026,1
4,-1_3,5,11.308000000000002,0.03891101664102858,0.9992426796249056,1
4,-1_6,1,1.51,-0.96862655094952,0.24852083372553874,1
4,-1_9,1,13.89,-0.6219681214153641,0.7830425633023042,1
4,-2_9,1,13.89,-0.6219681214153641,0.7830425633023042,1
4,1_3,1,13.89,0.17020949916603256,0.9854078984834901,1
4,1_4,1,13.89,0.8045829736345688,-0.5938402466466507,1
4,1_6,1,13.89,-0.25156263237634396,0.9678410210318038,1
4,1_7,1,8.33,-0.03053851320982266,-0.9995335908367129,1
4,1_8,1,13.89,-0.8366687329036697,0.5477092580752745,1
4,2_2,2,12.705,-0.6363475293115821,0.7714025031972901,1
4,2_6,1,13.89,0.07741508350801171,0.9969989492699817,1
4,2_9,1,13.89,-0.9997346290416701,0.023036308187606193,1
4,4_4,1,13.89,-0.19782842696335967,-0.9802366619777096,1
4,4_6,1,7.21,-0.7644715314230917,0.6446574886275913,1
4,5_1,1,13.89,0.10539630743387979,-0.9944302984017045,1
4,6_1,1,13.89,0.3674753565882333,-0.9300332587065641,1
4,6_2,3,13.89,0.2549394954004769,-0.966957007154377,1
4,7_5,1,13.89,0.06993058045255512,-0.9975518602647026,1
5,-1_3,6,10.676666666666668,0.03891101664102858,0.9992426796249055,1
5,-1_6,1,1.51,-0.96862655094952,0.24852083372553874,1
5,-1_9,2,13.89,-0.6219681214153641,0.7830425633023042,1
5,1_4,1,13.89,0.810961712262503,-0.5850992234179339,1
5,1_6,1,13.89,-0.25156263237634396,0.9678410210318038,1
5,1_7,1,8.33,-0.03053851320982266,-0.9995335908367129,1
5,1_8,3,13.1,-0.8366687329036697,0.5477092580752745,1
5,2_2,3,13.363333333333335,-0.6363475293115821,0.7714025031972901,1
5,2_3,1,13.89,0.17020949916603256,0.9854078984834901,1
5,2_6,1,13.89,0.07741508350801171,0.9969989492699817,1
5,2_9,1,13.89,-0.9997346290416701,0.023036308187606193,1
5,4_4,1,13.89,-0.19782842696335967,-0.9802366619777096,1
5,4_6,1,7.21,-0.9684093068110037,-0.24936602511535413,1
5,5_1,1,13.89,0.10539630743387979,-0.9944302984017045,1
5,5_2,1,13.89,0.8653264281300619,0.5012087117954642,1
5,6_1,1,13.89,0.3674753565882333,-0.9300332587065641,1
5,6_2,3,13.89,0.2549394954004769,-0.966957007154377,1
5,7_5,1,13.89,0.06993058045255512,-0.9975518602647026,1
6,-1_3,6,11.268333333333333,0.03891101664102858,0.9992426796249055,1
6,-1_6,1,4.11,-0.96862655094952,0.24852083372553874,1
6,-1_9,2,13.89,-0.6219681214153641,0.7830425633023042,1
6,1_4,1,12.84,0.810961712262503,-0.5850992234179339,1
6,1_6,1,13.89,-0.25156263237634396,0.9678410210318038,1
6,1_7,2,11.11,-0.4735553697063616,-0.6997013810666748,1
6,1_8,3,13.1,-0.8366687329036697,0.5477092580752745,1
6,2_2,3,13.540000000000001,-0.6363475293115821,0.7714025031972901,1
6,2_3,1,13.89,0.17020949916603256,0.9854078984834901,1
6,2_6,1,13.89,0.07741508350801171,0.9969989492699817,1
6,2_9,1,13.89,-0.9997346290416701,0.023036308187606193,1
6,3_5,1,13.89,0.3115057926840881,0.9502442534023859,1
6,3_6,1,9.81,-0.9211854055657211,-0.3891239501402064,1
6,4_3,1,13.89,-0.9759928488370193,-0.21780256889898986,1
6,4_4,1,13.89,-0.19782842696335967,-0.9802366619777096,1
6,4_6,1,13.89,-0.681232114449672,-0.7320674874917127,1
6,5_1,1,13.89,0.10539630743387979,-0.9944302984017045,1
6,5_2,1,13.89,0.8653264281300619,0.5012087117954642,1
6,6_1,1,13.89,0.3674753565882333,-0.9300332587065641,1
6,6_2,4,13.89,0.2549394954004769,-0.9669570071543772,1
6,7_5,1,13.89,0.06993058045255512,-0.9975518602647026,1
7,-1_3,6,11.956666666666669,0.03891101664102858,0.9992426796249055,1
7,-1_6,1,6.71,-0.96862655094952,0.24852083372553874,1
7,-1_9,2,13.89,-0.6219681214153641,0.7830425633023042,1
7,1_4,1,8.34,0.8108595808323733,-0.5852407540255103,1
7,1_6,1,13.89,-0.25156263237634396,0.9678410210318038,1
7,1_7,2,11.11,-0.4735553697063616,-0.6997013810666748,1
7,1_8,3,13.363333333333335,-0.8366687329036697,0.5477092580752745,1
7,2_2,3,13.656666666666666,-0.6363475293115821,0.7714025031972901,1
7,2_3,1,13.89,0.17020949916603256,0.9854078984834901,1
7,2_5,1,13.89,-0.6781596698680705,-0.7349145951499599,1
7,2_6,1,13.89,0.07741508350801171,0.9969989492699817,1
7,2_7,1,13.89,-0.515935415843057,0.8566274841953484,1
7,2_9,1,13.89,-0.9997346290416701,0.023036308187606193,1
7,3_3,1,13.89,0.9685397418030119,0.2488589330286436,1
7,3_5,2,12.705,0.3115057926840881,0.9502442534023859,1
7,3_6,2,10.675,-0.6416650661020695,0.015457841191892363,1
7,4_3,1,13.89,-0.9759928488370193,-0.21780256889898986,1
7,4_4,1,13.89,-0.20483772855372512,-0.9787959465388842,1
7,4_6,1,13.89,-0.681232114449672,-0.7320674874917127,1
7,5_1,1,12.15,0.2215484976194675,-0.9751493543055632,1
7,5_2,1,13.89,0.8653264281300619,0.5012087117954642,1
7,5_5,1,13.89,0.4270422530134434,-0.9042316706138988,1
7,6_1,2,13.89,0.3674753565882333,-0.9300332587065641,1
7,6_2,4,13.89,0.2549394954004769,-0.9669570071543772,1
7,7_5,1,13.89,0.06993058045255512,-0.9975518602647026,1
8,-1_3,6,12.583333333333334,0.03891101664102858,0.9992426796249055,1
8,-1_6,1,9.31,-0.96862655094952,0.24852083372553874,1
8,-1_9,2,13.89,-0.6219681214153641,0.7830425633023042,1
8,1_4,2,8.865,0.8022755556091286,-0.5968006226473421,1
8,1_6,1,13.89,-0.25156263237634396,0.9678410210318038,1
8,1_7,2,11.11,-0.4735553697063616,-0.6997013810666748,1
8,1_8,3,13.540000000000001,-0.8366687329036697,0.5477092580752745,1
8,2_2,3,13.733333333333334,-0.6363475293115821,0.7714025031972901,1
8,2_3,1,13.89,0.17020949916603256,0.9854078984834901,1
8,2_5,2,13.89,-0.6781596698680705,-0.7349145951499599,1
8,2_6,1,13.89,0.07741508350801171,0.9969989492699817,1
8,2_7,1,13.89,-0.5220520517672937,0.8529136270722604,1
8,2_9,1,13.89,-0.9997346290416701,0.023036308187606193,1
8,3_3,1,13.89,0.9417643573969303,0.3362735421301339,1
8,3_4,1,13.89,-0.824225032606736,-0.5662623911442689,1
8,3_5,3,10.49,0.3115057926840881,0.9502442534023859,1
8,3_6,2,11.39,-0.7828611335299023,0.22396436478980325,1
8,4_3,1,13.89,-0.9000147033970147,-0.435859534333234,1
8,4_4,2,13.89,-0.2013330777585424,-0.9795163042582969,1
8,4_6,1,13.89,-0.681232114449672,-0.7320674874917127,1
8,5_1,1,12.15,0.7471024186953932,-0.6647089408000267,1
8,5_2,1,13.64,0.8653264281300619,0.5012087117954642,1
8,5_5,1,13.89,0.4270422530134434,-0.9042316706138988,1
8,6_1,2,13.89,0.3674753565882333,-0.9300332587065641,1
8,6_2,5,13.89,0.2549394954004769,-0.9669570071543772,1
